n,grade
1,73.7
2,56
3,46.5
4,67.3
5,75.9
6,63.1
7,76
8,41.1
9,62.8
10,85
11,67.7
12,85.8
13,83.8
14,74.3
15,87.4
16,65.5
17,64.7
18,60
19,55.5
20,59.3
21,74
22,60.7
23,72.2
24,77.2
25,69.3
26,77.4
27,65
28,86.2
29,75
30,84.5
31,78.6
32,82.4
33,76.8
34,81.8
35,85.4
36,50.5
37,84.9
38,82.6
39,64.5
40,74.4
41,67.1
42,47.1
43,71.3
44,69.8
45,54.3
46,81.8
47,5.5
48,77
49,80.7
50,60.3
51,91.9
52,71.9
53,79.4
54,91.5
55,77
56,79
57,77.3
58,83.9
59,62
60,69.7
61,81.3
62,63.5
63,76.7
64,76.5
65,70.8
66,86
67,48.8
68,54.8
69,84.1
70,58.8
71,81.6
72,45.4
73,70.2
74,76.1
75,71.1
76,75.5
77,52.9
78,64.1
79,78.7
